Customer Name,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
Chris Selesnick,3,81,14418,4,4,2,442,Loyal Customers
Christina Anderson,35,69,21835,1,3,4,134,Big Spenders
Christina DeMoss,13,82,17986,3,4,3,343,Loyal Customers
Christina VanderZanden,40,60,10327,1,2,1,121,At Risk
Christine Abelman,14,43,7803,3,1,1,311,At Risk
Christine Kargatis,1,67,13055,4,3,2,432,Loyal Customers
Christine Phan,9,82,25157,3,4,4,344,Loyal Customers
Christine Sundaresam,7,66,10546,4,3,1,431,Loyal Customers
Christopher Conant,7,73,35187,4,3,4,434,Loyal Customers
Christopher Martinez,38,56,22460,1,2,4,124,Big Spenders
Christopher Schild,2,53,12516,4,1,2,412,Recent Customers
Christy Brittain,27,49,13938,2,1,2,212,At Risk
Chuck Clark,1,60,15040,4,2,2,422,Recent Customers
Chuck Magee,16,58,13715,3,2,2,322,At Risk
Chuck Sachs,7,70,22759,4,3,4,434,Loyal Customers
Cindy Chapman,17,74,20866,3,3,4,334,Loyal Customers
Cindy Schnelling,3,62,12775,4,2,2,422,Recent Customers
Cindy Stewart,28,42,13432,2,1,2,212,At Risk
Claire Gute,29,52,14662,2,1,2,212,At Risk
Claudia Bergmann,8,72,18261,3,3,3,333,Loyal Customers
Clay Cheatham,28,60,9345,2,2,1,221,At Risk
Clay Ludtke,6,79,19784,4,4,4,444,Champions
Clay Rozendal,23,41,11759,2,1,1,211,At Risk
Clytie Kelty,44,79,17141,1,4,3,143,At Risk
Corey Catlett,17,61,17604,3,2,3,323,At Risk
Corey Roper,44,77,22354,1,4,4,144,Big Spenders
Corey-Lock,5,68,13049,4,3,2,432,Loyal Customers
Corinna Mitchell,28,54,15580,2,1,3,213,At Risk
Craig Carreira,17,67,11497,3,3,1,331,Loyal Customers
Craig Carroll,55,55,16815,1,1,3,113,At Risk
Craig Leslie,9,69,19378,3,3,4,334,Loyal Customers
Craig Molinari,42,54,11230,1,1,1,111,At Risk
Craig Reiter,6,77,20848,4,4,4,444,Champions
Craig Yedwab,61,60,14220,1,2,2,122,At Risk
Cyma Kinney,38,69,10596,1,3,1,131,At Risk
Cynthia Arntzen,94,61,19834,1,2,4,124,Big Spenders
Cynthia Delaney,77,68,14500,1,3,2,132,At Risk
Cynthia Voltz,5,54,14857,4,1,2,412,Recent Customers
Cyra Reiten,56,54,15657,1,1,3,113,At Risk
Damala Kotsonis,22,86,20961,2,4,4,244,Big Spenders
Dan Campbell,35,77,13439,1,4,2,142,At Risk
Dan Lawera,58,68,12690,1,3,2,132,At Risk
Dan Reichenbach,4,84,16705,4,4,3,443,Loyal Customers
Dana Kaydos,46,70,19638,1,3,4,134,Big Spenders
Daniel Byrd,3,65,15392,4,3,3,433,Loyal Customers
Daniel Lacy,38,72,12201,1,3,1,131,At Risk
Daniel Raglin,28,85,27932,2,4,4,244,Big Spenders
Dario Medina,13,76,22297,3,4,4,344,Loyal Customers
Darren Budd,58,31,9681,1,1,1,111,At Risk
Darren Koutras,2,64,14903,4,2,2,422,Recent Customers
Darren Powers,15,82,15980,3,4,3,343,Loyal Customers
Darrin Martin,3,66,17733,4,3,3,433,Loyal Customers
Darrin Sayre,49,68,13283,1,3,2,132,At Risk
Darrin Van Huff,20,94,22749,2,4,4,244,Big Spenders
Dave Brooks,9,70,25550,3,3,4,334,Loyal Customers
Dave Hallsten,76,83,16191,1,4,3,143,At Risk
Dave Kipp,9,64,19456,3,2,4,324,Big Spenders
Dave Poirier,7,62,25901,4,2,4,424,Recent Customers
David Bremer,6,34,6275,4,1,1,411,Recent Customers
David Flashing,10,52,11540,3,1,1,311,At Risk
David Kendrick,11,58,17559,3,2,3,323,At Risk
David Philippe,8,68,23730,3,3,4,334,Loyal Customers
David Smith,15,63,13634,3,2,2,322,At Risk
David Wiener,7,56,10930,4,2,1,421,Recent Customers
Dean Braden,8,73,14132,3,3,2,332,Loyal Customers
Dean Katz,2,56,10652,4,2,1,421,Recent Customers
Dean percer,19,81,22833,2,4,4,244,Big Spenders
Deanra Eno,20,55,12799,2,1,2,212,At Risk
Deborah Brumfield,10,58,12578,3,2,2,322,At Risk
Debra Catini,19,54,16972,2,1,3,213,At Risk
Deirdre Greer,15,64,16715,3,2,3,323,At Risk
Delfina Latchford,19,76,20252,2,4,4,244,Big Spenders
Denise Leinenbach,13,75,17936,3,4,3,343,Loyal Customers
Denise Monton,3,59,22051,4,2,4,424,Recent Customers
Dennis Bolton,48,52,10610,1,1,1,111,At Risk
Dennis Kane,5,76,20103,4,4,4,444,Champions
Dennis Pardue,1,57,11661,4,2,1,421,Recent Customers
Denny Blanton,29,51,16634,2,1,3,213,At Risk
Denny Joy,2,63,22561,4,2,4,424,Recent Customers
Denny Ordway,37,83,18797,1,4,4,144,Big Spenders
Dianna Arnett,14,60,15248,3,2,2,322,At Risk
Dianna Vittorini,14,63,16951,3,2,3,323,At Risk
Dianna Wilson,56,88,23456,1,4,4,144,Big Spenders
Dionis Lloyd,23,56,16648,2,2,3,223,At Risk
Don Jones,7,78,21395,4,4,4,444,Champions
Don Miller,36,52,11836,1,1,1,111,At Risk
Don Weiss,13,62,14384,3,2,2,322,At Risk
Dorothy Badders,6,49,10384,4,1,1,411,Recent Customers
Dorothy Dickinson,42,66,11071,1,3,1,131,At Risk
Dorothy Wardle,6,74,12606,4,3,2,432,Loyal Customers
Dorris liebe,6,58,14720,4,2,2,422,Recent Customers
Doug Bickford,28,58,12855,2,2,2,222,At Risk
Doug Jacobs,13,54,13852,3,1,2,312,At Risk
Doug O'Connell,27,68,13772,2,3,2,232,At Risk
Duane Benoit,13,42,13604,3,1,2,312,At Risk
Duane Huffman,21,54,12477,2,1,2,212,At Risk
Duane Noonan,13,60,14915,3,2,2,322,At Risk
Ed Braxton,49,65,15525,1,3,3,133,At Risk
Ed Jacobs,50,45,10699,1,1,1,111,At Risk
Ed Ludwig,27,71,14209,2,3,2,232,At Risk
Edward Becker,33,49,9428,2,1,1,211,At Risk
Edward Hooks,3,84,21272,4,4,4,444,Champions
Edward Nazzal,15,46,7072,3,1,1,311,At Risk
Eileen Kiefer,45,36,7124,1,1,1,111,At Risk
Eleni McCrary,59,54,14584,1,1,2,112,At Risk
Elizabeth Moffitt,56,64,14508,1,2,2,122,At Risk
Ellis Ballard,3,57,21986,4,2,4,424,Recent Customers
Elpida Rittenbach,54,53,17131,1,1,3,113,At Risk
Emily Burns,16,35,7037,3,1,1,311,At Risk
Emily Ducich,16,76,18549,3,4,3,343,Loyal Customers
Emily Grady,23,63,23114,2,2,4,224,Big Spenders
Emily Phan,13,72,16770,3,3,3,333,Loyal Customers
Eric Barreto,8,48,11967,3,1,1,311,At Risk
Eric Hoffmann,58,71,10351,1,3,1,131,At Risk
Eric Murdock,3,100,28085,4,4,4,444,Champions
Erica Bern,1,77,16119,4,4,3,443,Loyal Customers
Erica Hackney,34,51,9481,2,1,1,211,At Risk
Erica Hernandez,3,57,13008,4,2,2,422,Recent Customers
Erica Smith,1,67,14719,4,3,2,432,Loyal Customers
Erin Ashbrook,94,72,11521,1,3,1,131,At Risk
Erin Creighton,54,58,6731,1,2,1,121,At Risk
Erin Mull,17,62,15321,3,2,3,323,At Risk
Erin Smith,29,74,18160,2,3,3,233,At Risk
Eudokia Martin,9,61,13723,3,2,2,322,At Risk
Eugene Barchas,21,64,16085,2,2,3,223,At Risk
Eugene Hildebrand,23,86,22424,2,4,4,244,Big Spenders
Eugene Moren,25,94,23411,2,4,4,244,Big Spenders
Eva Jacobs,23,49,14957,2,1,2,212,At Risk
Evan Bailliet,20,47,8006,2,1,1,211,At Risk
Evan Henry,68,61,16377,1,2,3,123,At Risk
Evan Minnotte,42,66,19672,1,3,4,134,Big Spenders
Filia McAdams,8,69,17287,3,3,3,333,Loyal Customers
Frank Atkinson,23,62,14350,2,2,2,222,At Risk
Frank Carlisle,43,51,12410,1,1,2,112,At Risk
Frank Gastineau,35,44,9704,1,1,1,111,At Risk
Frank Hawley,5,48,13686,4,1,2,412,Recent Customers
Frank Merwin,3,77,16388,4,4,3,443,Loyal Customers
Frank Olsen,23,85,17775,2,4,3,243,At Risk
Frank Preis,24,55,10760,2,1,1,211,At Risk
Fred Chung,108,51,9323,1,1,1,111,At Risk
Fred Harton,2,42,10766,4,1,1,411,Recent Customers
Fred Hopkins,2,82,30404,4,4,4,444,Champions
Fred McMath,2,46,7441,4,1,1,411,Recent Customers
Fred Wasserman,1,72,18194,4,3,3,433,Loyal Customers
Gary Hansen,21,76,15269,2,4,3,243,At Risk
Gary Hwang,19,102,24629,2,4,4,244,Big Spenders
Gary McGarr,2,58,16518,4,2,3,423,Recent Customers
Gary Mitchum,17,43,11011,3,1,1,311,At Risk
Gary Zandusky,8,78,24700,3,4,4,344,Loyal Customers
Gene Hale,52,50,15488,1,1,3,113,At Risk
Gene McClure,105,47,11003,1,1,1,111,At Risk
George Ashbrook,23,58,13806,2,2,2,222,At Risk
George Bell,34,56,12183,2,2,1,221,At Risk
George Zrebassa,31,52,15294,2,1,3,213,At Risk
Georgia Rosenberg,50,62,13850,1,2,2,122,At Risk
Giulietta Baptist,14,66,12570,3,3,2,332,Loyal Customers
Giulietta Dortch,6,56,18705,4,2,3,423,Recent Customers
Giulietta Weimer,15,57,18071,3,2,3,323,At Risk
Grace Kelly,13,65,19982,3,3,4,334,Loyal Customers
Grant Thornton,10,48,20226,3,1,4,314,Big Spenders
Greg Guthrie,34,75,13901,2,4,2,242,At Risk
Greg Hansen,2,65,13997,4,3,2,432,Loyal Customers
Greg Matthias,2,74,13600,4,3,2,432,Loyal Customers
Greg Maxwell,48,64,15355,1,2,3,123,At Risk
Greg Tran,9,87,35552,3,4,4,344,Loyal Customers
Guy Armstrong,3,64,10285,4,2,1,421,Recent Customers
Guy Phonely,2,74,15403,4,3,3,433,Loyal Customers
Guy Thornton,1,62,9061,4,2,1,421,Recent Customers
Hallie Redmond,14,61,15680,3,2,3,323,At Risk
Harold Dahlen,43,81,20070,1,4,4,144,Big Spenders
Harold Engle,7,71,10993,4,3,1,431,Loyal Customers
Harold Pawlan,31,45,8517,2,1,1,211,At Risk
Harold Ryan,52,44,10034,1,1,1,111,At Risk
Harry Greene,13,101,24217,3,4,4,344,Loyal Customers
Harry Marie,2,85,28477,4,4,4,444,Champions
Heather Jas,6,68,15435,4,3,3,433,Loyal Customers
Heather Kirkland,44,60,15541,1,2,3,123,At Risk
Helen Abelman,14,62,16930,3,2,3,323,At Risk
Helen Andreada,21,63,10414,2,2,1,221,At Risk
Helen Wasserman,35,66,18372,1,3,3,133,At Risk
Henia Zydlo,36,57,12487,1,2,2,122,At Risk
Henry Goldwyn,24,71,17168,2,3,3,233,At Risk
Henry MacAllister,26,64,17128,2,2,3,223,At Risk
Herbert Flentye,15,77,11813,3,4,1,341,Loyal Customers
Hilary Holden,55,57,15229,1,2,2,122,At Risk
Hunter Glantz,7,67,16214,4,3,3,433,Loyal Customers
Hunter Lopez,31,53,30246,2,1,4,214,Big Spenders
Ionia McGrath,16,39,9480,3,1,1,311,At Risk
Irene Maddox,41,82,19919,1,4,4,144,Big Spenders
Ivan Gibson,2,77,16151,4,4,3,443,Loyal Customers
Ivan Liston,117,64,12853,1,2,2,122,At Risk
Jack Garza,6,62,15708,4,2,3,423,Recent Customers
Jack Lebron,9,83,18673,3,4,3,343,Loyal Customers
Jack O'Briant,6,51,13348,4,1,2,412,Recent Customers
James Galang,2,83,21554,4,4,4,444,Champions
James Lanier,7,53,14847,4,1,2,412,Recent Customers
Jamie Frazer,7,74,20576,4,3,4,434,Loyal Customers
Jamie Kunitz,62,50,12533,1,1,2,112,At Risk
Jane Waco,13,75,30288,3,4,4,344,Loyal Customers
Janet Lee,2,69,20479,4,3,4,434,Loyal Customers
Janet Martin,7,67,18017,4,3,3,433,Loyal Customers
Janet Molinari,38,77,16168,1,4,3,143,At Risk
Jas O'Carroll,15,44,8819,3,1,1,311,At Risk
Jason Fortune-,57,73,22817,1,3,4,134,Big Spenders
Jason Gross,3,55,13570,4,1,2,412,Recent Customers
Jason Klamczynski,78,62,17200,1,2,3,123,At Risk
Jasper Cacioppo,35,73,18443,1,3,3,133,At Risk
Jay Fein,14,64,10818,3,2,1,321,At Risk
Jay Kimmel,2,67,13401,4,3,2,432,Loyal Customers
Jenna Caffey,9,75,16161,3,4,3,343,Loyal Customers
Jennifer Braxton,8,73,15258,3,3,2,332,Loyal Customers
Jennifer Ferguson,3,66,22947,4,3,4,434,Loyal Customers
Jennifer Halladay,6,78,12692,4,4,2,442,Loyal Customers
Jennifer Jackson,20,41,12191,2,1,1,211,At Risk
Jennifer Patt,37,78,14212,1,4,2,142,At Risk
Jeremy Ellison,28,43,6818,2,1,1,211,At Risk
Jeremy Farry,5,57,10722,4,2,1,421,Recent Customers
Jeremy Lonsdale,31,48,11362,2,1,1,211,At Risk
Jeremy Pistek,9,74,18659,3,3,3,333,Loyal Customers
Jessica Myrick,15,51,7789,3,1,1,311,At Risk
Jesus Ocampo,13,53,8209,3,1,1,311,At Risk
Jill Fjeld,2,78,23621,4,4,4,444,Champions
Jill Matthias,1,58,14181,4,2,2,422,Recent Customers
Jill Stevenson,6,49,10142,4,1,1,411,Recent Customers
Jim Epp,43,64,13952,1,2,2,122,At Risk
Jim Karlsson,2,69,17121,4,3,3,433,Loyal Customers
Jim Kriz,1,43,13071,4,1,2,412,Recent Customers
Jim Mitchum,9,84,19899,3,4,4,344,Loyal Customers
Jim Radford,13,48,15925,3,1,3,313,At Risk
Jim Sink,41,69,16281,1,3,3,133,At Risk
Jocasta Rupert,8,36,11242,3,1,1,311,At Risk
Joe Elijah,10,82,22452,3,4,4,344,Loyal Customers
Joe Kamberova,49,91,26689,1,4,4,144,Big Spenders
Joel Eaton,33,87,21905,2,4,4,244,Big Spenders
Joel Jenkins,3,83,19993,4,4,4,444,Champions
John Castell,2,53,12298,4,1,2,412,Recent Customers
John Dryer,16,48,11591,3,1,1,311,At Risk
John Grady,1,95,22219,4,4,4,444,Champions
John Huston,14,83,25947,3,4,4,344,Loyal Customers
John Lee,22,72,25979,2,3,4,234,Big Spenders
John Lucas,45,50,10503,1,1,1,111,At Risk
John Murray,69,79,22386,1,4,4,144,Big Spenders
John Stevenson,12,42,12189,3,1,1,311,At Risk
Jonathan Doherty,3,86,19481,4,4,4,444,Champions
Jonathan Howell,41,81,16544,1,4,3,143,At Risk
Joni Blumstein,10,59,13339,3,2,2,322,At Risk
Joni Sundaresam,6,53,6809,4,1,1,411,Recent Customers
Joni Wasserman,6,60,10949,4,2,1,421,Recent Customers
Joseph Airdo,1,76,18169,4,4,3,443,Loyal Customers
Joseph Holt,12,85,20939,3,4,4,344,Loyal Customers
Joy Bell-,2,84,24011,4,4,4,444,Champions
Joy Daniels,43,67,11346,1,3,1,131,At Risk
Joy Smith,22,70,20793,2,3,4,234,Big Spenders
Julia Barnett,1,57,17087,4,2,3,423,Recent Customers
Julia Dunbar,66,48,11228,1,1,1,111,At Risk
Julia West,2,61,20598,4,2,4,424,Recent Customers
Juliana Krohn,9,83,23136,3,4,4,344,Loyal Customers
Julie Creighton,58,63,14996,1,2,2,122,At Risk
Julie Kriz,98,65,15648,1,3,3,133,At Risk
Julie Prescott,27,76,14594,2,4,2,242,At Risk
Justin Deggeller,1,71,23618,4,3,4,434,Loyal Customers
Justin Ellison,21,53,12910,2,1,2,212,At Risk
Justin Hirsh,28,81,23918,2,4,4,244,Big Spenders
Justin MacKendrick,13,53,9027,3,1,1,311,At Risk
Justin Ritter,19,57,13625,2,2,2,222,At Risk
Kalyca Meade,1,43,8643,4,1,1,411,Recent Customers
Karen Bern,5,55,11846,4,1,1,411,Recent Customers
Karen Carlisle,45,63,10416,1,2,1,121,At Risk
Karen Daniels,37,64,24018,1,2,4,124,Big Spenders
Karen Ferguson,33,62,18267,2,2,3,223,At Risk
Karen Seio,36,43,5325,1,1,1,111,At Risk
Karl Braun,3,93,17494,4,4,3,443,Loyal Customers
Katharine Harms,17,74,18414,3,3,3,333,Loyal Customers
Katherine Ducich,42,39,11696,1,1,1,111,At Risk
Katherine Hughes,2,75,12210,4,4,1,441,Loyal Customers
Katherine Murray,3,81,18522,4,4,3,443,Loyal Customers
Katherine Nockton,20,59,19669,2,2,4,224,Big Spenders
Katrina Bavinger,20,68,14027,2,3,2,232,At Risk
Katrina Edelman,27,67,13553,2,3,2,232,At Risk
Katrina Willman,27,58,15747,2,2,3,223,At Risk
Kean Nguyen,38,66,18064,1,3,3,133,At Risk
Kean Takahito,44,82,17257,1,4,3,143,At Risk
Kean Thornton,28,45,8362,2,1,1,211,At Risk
Keith Dawkins,47,78,26451,1,4,4,144,Big Spenders
Keith Herrera,16,79,16890,3,4,3,343,Loyal Customers
Kelly Andreada,17,86,18876,3,4,4,344,Loyal Customers
Kelly Collister,34,55,19401,2,1,4,214,Big Spenders
Kelly Lampkin,16,86,14248,3,4,2,342,Loyal Customers
Kelly Williams,23,71,11833,2,3,1,231,At Risk
Ken Black,94,66,16602,1,3,3,133,At Risk
Ken Brennan,2,56,11465,4,2,1,421,Recent Customers
Ken Dana,76,56,12553,1,2,2,122,At Risk
Ken Heidel,9,57,9021,3,2,1,321,At Risk
Ken Lonsdale,1,82,24127,4,4,4,444,Champions
Khloe Miller,16,61,10973,3,2,1,321,At Risk
Kimberly Carter,3,53,13923,4,1,2,412,Recent Customers
Kristen Hastings,3,88,19856,4,4,4,444,Champions
Kristina Nunn,99,46,10715,1,1,1,111,At Risk
Kunst Miller,29,69,16968,2,3,3,233,At Risk
Larry Blacks,10,63,14583,3,2,2,322,At Risk
Larry Hughes,13,50,8693,3,1,1,311,At Risk
Larry Tron,7,56,18619,4,2,3,423,Recent Customers
Laura Armstrong,2,86,27864,4,4,4,444,Champions
Laurel Beltran,40,88,26387,1,4,4,144,Big Spenders
Laurel Elliston,15,61,11477,3,2,1,321,At Risk
Laurel Workman,23,63,10873,2,2,1,221,At Risk
Lauren Leatherbury,27,66,14939,2,3,2,232,At Risk
Lela Donovan,43,71,16181,1,3,3,133,At Risk
Lena Cacioppo,24,66,11078,2,3,1,231,At Risk
Lena Creighton,17,69,18889,3,3,4,334,Loyal Customers
Lena Hernandez,22,55,12941,2,1,2,212,At Risk
Lena Radford,27,65,22903,2,3,4,234,Big Spenders
Linda Cazamias,42,67,16738,1,3,3,133,At Risk
Linda Southworth,7,63,13145,4,2,2,422,Recent Customers
Lindsay Castell,3,50,14301,4,1,2,412,Recent Customers
Lindsay Shagiari,21,59,9366,2,2,1,221,At Risk
Lindsay Williams,15,58,10982,3,2,1,321,At Risk
Lisa DeCherney,44,58,11824,1,2,1,121,At Risk
Lisa Hazard,42,43,9164,1,1,1,111,At Risk
Lisa Ryan,46,78,18799,1,4,4,144,Big Spenders
Liz Carlisle,5,58,20127,4,2,4,424,Recent Customers
Liz MacKendrick,8,50,15531,3,1,3,313,At Risk
